,0
0,"almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil"
1,"meatballs,eggs"
2,
3,avocado
4,"milk,energy bar,whole wheat rice,green tea"
5,
6,french fries
7,"light cream,shallot"
8,"spaghetti,green tea"
9,
10,pet food
11,
12,"burgers,mineral water,eggs,cooking oil"
13,"champagne,cookies"
14,salmon
15,
16,"chocolate,chicken,honey,oil,cooking oil,low fat yogurt"
17,eggs
18,"fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon,eggs,chicken,extra dark chocolate"
19,"milk,honey,french fries,protein bar"
20,"shrimp,pasta,pepper,eggs,chocolate,shampoo"
21,sparkling water
22,"mineral water,ham,body spray,pancakes,green tea"
23,"grated cheese,shrimp,pasta,avocado,honey,white wine,toothpaste"
24,
25,"spaghetti,soup,avocado,milk,fresh bread"
26,"spaghetti,mineral water,milk,energy bar,black tea,salmon,frozen smoothie,escalope"
27,
28,"eggs,chicken,chocolate,french fries"
29,"spaghetti,yams,mineral water"
30,"tomato sauce,light cream,magazines"
31,"chocolate,avocado,eggs"
32,"french fries,strawberries"
33,"strong cheese,chocolate"
34,
35,"spaghetti,salmon,escalope"
36,french fries
37,"ground beef,mineral water"
38,"cake,cottage cheese"
39,"champagne,green tea"
40,
41,"frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie,escalope"
42,
43,"meatballs,hot dogs,sparkling water"
44,
45,"avocado,french fries,hot dogs,brownies,body spray,pancakes,green tea"
46,"chicken,cereals,clothes accessories"
47,bug spray
48,muffins
49,"black tea,green tea"
50,"chocolate,brownies,white wine,green tea"
51,"mineral water,eggs"
52,muffins
53,chocolate
54,"escalope,champagne"
55,light mayo
56,"fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,chocolate,soup,milk,olive oil"
57,cookies
58,"chicken,gums,soda,body spray,energy drink,green tea"
59,"frozen vegetables,mineral water,cider,cooking oil,green tea"
60,
61,
62,
63,"bug spray,shallot,protein bar,green tea"
64,eggs
65,
66,milk
67,"whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice"
68,
69,pasta
70,"herb & pepper,tomatoes,tomato sauce,corn"
71,"escalope,shallot"
72,
73,
74,eggs
75,
76,"chocolate,low fat yogurt"
77,strawberries
78,"ground beef,spaghetti,mineral water,white wine"
79,
80,"cake,french fries"
